"NoW March 27, 2019",0
New Zealand Censors Declare Christchurch Shooting Footage Illegal; Start Rounding Up Violators,https://www.techdirt.com/articles/20190325/14040941864/new-zealand-censors-declare-christchurch-shooting-footage-illegal-start-rounding-up-violators.shtml
"Brutal Startup Is Using Eye Tracking to Force You to Watch Ads: It's basically like ""A Clockwork Orange.""",https://futurism.com/moviepass-eye-tracking-ads
Social media platforms under increasing pressure to protect users from harm,https://www.lexology.com/library/detail.aspx?g=f678982e-0c72-45df-a57f-0a488ffa0c18
Facebook and Instagram Finally Ban White Nationalism and White Separatism,https://gizmodo.com/facebook-and-instagram-finally-bans-white-nationalism-a-1833609025
"Facebook’s new rules come down against white nationalism, separatism",https://arstechnica.com/information-technology/2019/03/facebooks-new-rules-come-down-against-white-nationalism-separatism/
Will Facebook’s New Ban On White Nationalist Content Work?,https://www.wired.com/story/facebook-ban-white-nationalism-separatism-hate-speech/
Facebook Settles Claims Alleging Discriminatory Ad Targeting,https://www.lexology.com/library/detail.aspx?g=5fa5eb35-1f78-45e0-977f-b4312ef3fef4
Vice Media to Pay $1.9 Million to Settle Pay Discrimination Case,https://www.bloomberg.com/news/articles/2019-03-27/vice-media-to-pay-1-9-million-to-settle-pay-discrimination-case
"Music labels sue Charter, complain that high Internet speeds fuel piracy",https://arstechnica.com/tech-policy/2019/03/music-labels-sue-charter-complain-that-high-internet-speeds-fuel-piracy/
RIAA Continues Its Legal War To Turn ISPs Into The Copyright Police: Sues Charter Communications,https://www.techdirt.com/articles/20190326/06581341870/riaa-continues-legal-war-to-turn-isps-into-copyright-police-sues-charter-communications.shtml
The Latest Pro-PewDiePie Hackers Locked Users’ Files Until They Subscribed,https://www.tubefilter.com/2019/03/22/pewdiepie-hacker-malware-subscribe-youtube-t-series/
"New Virus Steals Your Files Until PewDiePie Gets 100M Subscribers: Another ransomware variant encrypts your files unless you subscribe to PewDiePie - but even if you do, it deletes them anyway.",https://futurism.com/ransomware-encrypts-files-pewdiepie/
